,id,VAD,source,text,emotions,split,emotion_model,domain,labeled,annotation_procedure
107251,107251,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"Grrrrr fuck. Just remembered that I'm doing the later shift today, so not at work for another hour! What a wasted lay in opportunity","{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
1608,1608,"{'valence': None, 'arousal': None, 'dominance': None}",grounded_emotions,@LizMair They should. They'd do a much better job.,"{'joy': 1, 'anger': None, 'sadness': 0, 'disgust': None, 'fear': None, 'trust': None, 'surprise': None, 'love': None, 'noemo': None, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,HappySad,tweets,single,
102949,102949,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I trust your judgement . Thank you , Quinn . I'll be back tomorrow with a new set . Bye for now .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
79819,79819,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yes , we can , but it isn ’ t very interesting .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
99881,99881,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,The same with me . Have you given much thought to what you want to do next ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
11710,11710,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,How about drink ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
71754,71754,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,really ? I thought Barcelona was going to win . They are a much better team than Madrid .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
45087,45087,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What do you think of AC milan and the team of Argentine ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
84811,84811,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I am eating pretty good .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
147473,147473,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,who ever it is ....we will still have a idiot who runs our country #election #endoftheworld,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
107573,107573,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,umm...why will it not let me change my background?! im twitter-challenged.,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 1, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
33334,33334,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yeah , I've got everything from rock n ' roll to the latest new - wave stuff .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
109239,109239,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@Karina_Escobar some people seem to be getting over it pretty quick  and the guys to me didn't seem to care,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
41933,41933,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Forget it . It ’ s my pleasure . You mean a lot to me .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
147694,147694,"{'valence': None, 'arousal': None, 'dominance': None}",electoraltweets,@BarackObama  Undercover Muslim #obama #potus #barackobama #obummer #muslim #muslimbrotherhood #antichrist #president http//t.co/J8JjbDzB,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 1, 'fear': 0, 'trust': 0, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': 0, 'anticipation': 0, 'shame': None, 'guilt': None}",,Ekman+ET,tweets,single,
40866,40866,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Last week I saw Brain kissing you on the cheek .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
104247,104247,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"All right , can I have your passbook ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
107711,107711,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"Because twitter is about being an attention whore: meet new haircut, same as the old one: http://u.nu/8748 She refused to cut a fringe","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
99115,99115,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I remember I saw when I was dining in the Aidan Restaurant . When I paid the bill , I saw it in my handbag .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
122324,122324,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,Is sad clint hurdle got released. I liked him,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
54742,54742,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,He didn't make any effort . His aunt died and left him a fortune .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
31413,31413,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Well , they're on sale today for only $ 1 each .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
11276,11276,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,The skirt looks beautiful . Can I try it on ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
3063,3063,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Shall we buy ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
60941,60941,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I know you're right , but what can I do ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
28989,28989,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Next time you come back , bring your ID .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
52917,52917,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Terrific ! B . A . , again and again-B . A .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
50606,50606,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"He'll come out with surprises . Just wait and see . Look at that woman , with the white chiffon !","{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
105552,105552,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Well . Obviously , you won ’ t want All Risks cover .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
92494,92494,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I appreciate all help of you during my stay here .,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
138817,138817,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"@ all mothers, Happy Mother's Day, at all non-mothers, Happy Sunday, the 10th of May.","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 1, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
61127,61127,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Holly , I just heard some terrible news .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
6537,6537,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Let ’ s go over there and get some milk , a couple dozen eggs and some orange juice .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
23473,23473,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"No , thanks . I'm just looking .","{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
8270,8270,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What a pity . Can you recommend a nice restaurant near here ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
117550,117550,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@tmg25 i tried to help,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
27285,27285,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"There are hardly any windows in here , and that makes it really gloomy .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
94481,94481,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yeah . I'm still hungry , but I guess it's kind of rude to keep eating while he's talking , huh ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
72137,72137,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Thank you , goodbye .","{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
68417,68417,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Isn ’ t this great ? I always wanted to own a farm , live out in the country , grow my own food !","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
117945,117945,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,fell down while holdin kales hand today...I hurt my foot &amp; he bruised his forehead  im such a klutz!,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
122971,122971,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,It's gloomy as hell outside today.,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
20468,20468,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yes ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
115751,115751,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@MSTALENT I know right...,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
2874,2874,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I'm a little rushed . Is there any quicker way to get there ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
112974,112974,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,"I have never had a Starbucks coffee in my entire life, people keep making me jealous","{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
72540,72540,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I'd love to , but I don't care for skating very much .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
128621,128621,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,*flop* back after going out to bag #geocache GC1QR2R nice hide.,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
93864,93864,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Yes . This is Vanessa .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
120728,120728,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,:'( big brother in 4 days! This means constant live tripe on e4 and no scrubs to fall asleep to! Not happy,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
45346,45346,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,What type of movie is that ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
69478,69478,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,good idea ! I've always been interested in that . How much is the entrance fee ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
99310,99310,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,what about his hair ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
12800,12800,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,How about the cinema ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
27081,27081,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"It's not that I don't like your cooking , but I ate some cookies before we had dinner .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
63857,63857,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Wow , they were good . I guess criminals aren ’ t that dumb after all .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
75634,75634,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,We have the room color designed for our guest .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
34033,34033,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Harry Potter ? Is that book funny ?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
1536,1536,"{'valence': None, 'arousal': None, 'dominance': None}",grounded_emotions,@BeauWillimon Already in quotes #potemkinpresident,"{'joy': 0, 'anger': None, 'sadness': 1, 'disgust': None, 'fear': None, 'trust': None, 'surprise': None, 'love': None, 'noemo': None, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,HappySad,tweets,single,
108105,108105,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,I don't know what to wear....,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
70340,70340,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"Yes . My family lives in rural Korea , near Pusan . We have a huge house.The first floor of the house is a part-time private school.In the afternoon , students come for special tutoring in biology , Englis","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
118848,118848,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,My daddy left to go back home to Texas  i will c him hopefully n the next two months,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
145215,145215,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@Juniesgurl WOOHOO!!!  My broom isnt up to standards....there is no seatbelt on mine....*whispers*  I like the Swiffer...,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
99968,99968,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"I made a little bit of money , but not much .","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
13283,13283,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,"oh , really ? so you just took home a stray cat ?","{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 1, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
98443,98443,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Ok . Ask away .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
40468,40468,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,Maybe you'll get another chance at the statue .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
109930,109930,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@althearicardo: 3 hrs to go pa ako,"{'joy': 0, 'anger': 0, 'sadness': 1, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
106332,106332,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@RitikaKar  http://bit.ly/179jxS But gotta wiat till next week  btw...you from Mumbai itself?,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 1, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
24109,24109,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,We'll have fruit salad to start and then the roast beef .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
47584,47584,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I would say do not make the e-mail exchange too long . A lot of times a connection via e-mail creates almost a false sense of intimacy . Quickly make sure there is a connection in the physical world .,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
69002,69002,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,good luck !,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 1, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
132771,132771,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@SusanSweet thank you,"{'joy': 0, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 1, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
67700,67700,"{'valence': None, 'arousal': None, 'dominance': None}",dailydialog,I really like your books . I ’ Ve just finished this one . I read it from cover to cover in a single day . Congratulation on making the bestseller list yet again !,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': None, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman,conversations,single,
134418,134418,"{'valence': None, 'arousal': None, 'dominance': None}",crowdflower,@JonathanRKnight BTW I STILL can't believe how Awesome the NEWJABBAKIDZ performance was...U in the masks..I screamed at my pc,"{'joy': 1, 'anger': 0, 'sadness': 0, 'disgust': 0, 'fear': 0, 'trust': None, 'surprise': 0, 'love': 0, 'noemo': 0, 'confusion': None, 'anticipation': None, 'shame': None, 'guilt': None}",,Ekman+CF,tweets,single,crowdsourcing
